item_id,price,developer,release_anio
10,9.99,Valve,2000
20,4.99,Valve,1999
30,4.99,Valve,2003
40,4.99,Valve,2001
50,4.99,Gearbox Software,1999
60,4.99,Valve,2000
70,9.99,Valve,1998
130,4.99,Gearbox Software,2001
300,9.99,Valve,2010
240,19.99,Valve,2004
3830,9.99,Double Fine Productions,2005
2630,19.99,"Infinity Ward,Aspyr (Mac)",2005
3900,19.99,Firaxis Games,2005
34440,,Sin dato disponible,Sin dato disponible
3920,9.99,Firaxis Games,2005
6400,9.99,Most Wanted Entertainment,2006
6910,6.99,Ion Storm,2000
7670,19.99,"2K Boston,2K Australia",2007
409710,19.99,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)",2016
220,9.99,Valve,2004
320,4.99,Valve,2004
340,0.0,Valve,2005
360,9.99,Valve,2006
380,7.99,Valve,2006
400,9.99,Valve,2007
420,7.99,Valve,2007
9340,,Sin dato disponible,Sin dato disponible
228200,,Sin dato disponible,Sin dato disponible
11450,4.99,"Triumph Studios,Virtual Programming",2007
7940,19.99,"Infinity Ward,Aspyr (Mac)",2007
4700,19.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2006
12900,9.99,Dylan Fitterer,2008
13250,9.99,"Epic Games, Inc.",1998
16100,9.99,Last Day of Work,2006
15700,2.99,Oddworld Inhabitants,1997
15710,2.99,Oddworld Inhabitants,1998
17330,19.99,Crytek,2008
17340,,Sin dato disponible,Sin dato disponible
22000,9.99,2D BOY,2008
500,19.99,Valve,2008
4560,19.99,Relic Entertainment,2006
17460,19.99,BioWare,2008
10500,19.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009
24740,19.99,Criterion Games,2009
22200,9.99,ACE Team,2009
26800,14.99,Number None,2009
1250,19.99,Tripwire Interactive,2009
35420,0.0,Defence Alliance Team,2009
3590,4.99,"PopCap Games, Inc.",2009
8880,4.99,Irrational Games,2002
8890,4.99,Irrational Games,2005
23120,,Sin dato disponible,Sin dato disponible
35700,14.99,Frozenbyte,2009
10140,9.99,Wanako Games,2006
35010,,Sin dato disponible,Sin dato disponible
35140,19.99,"Rocksteady Studios,Feral Interactive (Mac)",2010
29180,9.99,Hemisphere Games,2009
15520,9.99,"Dejobaan Games, LLC",2009
32370,9.99,"BioWare,Aspyr (Mac)",2003
37700,19.99,8monkey Labs,Sep 2009
6020,9.99,"Raven Software,Aspyr (Mac)",2003
24860,,Sin dato disponible,Sin dato disponible
39530,,Sin dato disponible,Sin dato disponible
550,19.99,Valve,2009
223530,,Sin dato disponible,Sin dato disponible
8980,19.99,Gearbox Software,2009
41500,14.99,Runic Games,2009
20900,9.99,CD PROJEKT RED,2008
10180,19.99,"Infinity Ward,Aspyr (Mac)",2009
10190,,Sin dato disponible,Sin dato disponible
17450,19.99,BioWare,2009
3170,9.99,Katauri Interactive,2009
25900,6.99,1C Company,2008
31410,,Sin dato disponible,Sin dato disponible
24980,19.99,BioWare,2010
